province,fire_cause,fire_type,response_type,protection_zone,fn_indicator,dist_to_fn_km,n_fn_20km,any_evacuation,log_fire_size_ha
BC,human,fire,full,other,False,6.4388263677076445,10,False,0.1034513790327308
BC,human,fire,full,other,True,0.0,7,False,-1.3350842027908132
BC,human,fire,full,other,False,156.02553782497148,0,False,-0.2878450540058623
BC,human,fire,full,other,False,40.72106531903451,0,False,-1.2858830786432789
BC,human,fire,moderate,other,False,17.426993640495496,11,False,-1.3172785175846522
BC,human,fire,moderate,other,False,19.83686560121957,1,False,-0.5153386396784149
BC,human,fire,full,other,False,24.588436682241948,0,False,0.8269147296392942
BC,human,fire,full,other,False,0.9474032079097194,2,False,-0.9503304055573724
BC,natural,fire,moderate,other,False,29.318474401267757,0,False,0.013266930103714
BC,natural,fire,full,other,False,27.489721767001647,0,False,0.2988838351403096
BC,natural,fire,monitor,other,False,25.878531292900448,0,False,-1.2533234327593508
BC,natural,fire,monitor,other,False,78.1953300190164,0,False,0.8810360614774486
BC,natural,fire,monitor,other,False,68.16772898255574,0,False,-0.4854021108930611
BC,natural,fire,full,other,False,14.049795982221534,6,False,-0.1835122308496604
BC,natural,fire,full,other,False,5.009880923733823,17,False,-0.0905315324140141
BC,natural,fire,monitor,other,False,27.40253957879298,0,False,-1.1033550223579796
BC,natural,fire,monitor,other,False,31.32206239907233,0,False,-0.4230209838322022
BC,natural,fire,moderate,other,False,2.415760674653367,7,False,1.6029768586481492
BC,natural,fire,moderate,other,False,3.888186294851262,6,False,-0.7183888772168404
BC,natural,fire,monitor,other,False,31.920996707628458,0,False,0.9080328229475428
BC,natural,fire,moderate,other,False,10.876932389266404,1,False,-0.2629117058192135
BC,natural,fire,full,other,False,51.21629014349571,0,False,-0.1847789822684932
BC,natural,fire,full,other,False,11.46418647504122,6,False,0.9549136927934214
BC,natural,fire,moderate,other,False,10.340359621233864,1,False,1.947090951678239
BC,natural,fire,full,other,False,14.868273435309325,3,False,1.8959010106096492
BC,natural,fire,moderate,other,False,14.560195247439596,1,False,0.653219875365449
BC,natural,fire,full,other,False,7.843670628177131,5,False,0.5911114907752758
BC,natural,fire,moderate,other,False,121.38644464108724,0,False,3.235205892516816
BC,natural,fire,full,other,False,10.15720920644923,8,False,-0.7416490093579677
BC,natural,fire,other,other,False,40.98615793943958,0,False,2.345641340430558
BC,natural,fire,moderate,other,False,42.835000481681696,0,False,0.2337677916335674
BC,natural,fire,moderate,other,False,20.245553760351747,0,False,0.1883070014661641
BC,natural,fire,full,other,False,22.26353166401608,0,False,-0.2091397962953001
BC,natural,fire,full,other,False,5.317919268853338,8,False,0.4156630055080964
BC,natural,fire,full,other,False,14.40033522608968,1,False,-0.4880442826034027
BC,natural,fire,monitor,other,False,39.27973654816296,0,False,-1.010408435295077
BC,natural,fire,full,other,False,33.050320923279244,0,False,1.4544266256297955
BC,natural,fire,monitor,other,False,26.31873530338188,0,False,2.0262794776367348
BC,natural,fire,monitor,other,False,15.181173029306668,1,False,-1.1928413054011784
BC,natural,fire,full,other,False,1.5872697742311952,9,False,-1.025165370771936
BC,natural,fire,full,other,False,6.559757434629239,3,False,0.7529352857910246
BC,natural,fire,full,other,False,6.675897507066557,4,False,-0.4757148195592685
BC,natural,fire,monitor,other,False,34.484717664823656,0,False,-0.5731988231716355
BC,natural,fire,monitor,other,False,35.59280571057134,0,False,1.577373048525858
BC,natural,fire,full,other,False,5.430569348972275,2,False,2.1033803419323776
BC,natural,fire,full,other,False,60.655377904759646,0,False,1.688284049743864
BC,natural,fire,monitor,other,False,89.48718047123928,0,False,1.8469714437800575
BC,natural,fire,full,other,False,26.06138178595323,0,False,-0.1911511031849707
BC,natural,fire,moderate,other,False,18.93847649604791,4,False,-0.4849785044412762
BC,natural,fire,full,other,False,3.3981229062751943,9,False,-0.6307413850010007
BC,unknown,fire,moderate,other,False,24.55780013281985,0,False,0.35222553585434
BC,natural,fire,full,other,False,7.07033164159061,5,False,-0.5410308960094371
BC,natural,fire,moderate,other,False,6.267377599844482,12,False,-1.3627700895731674
BC,natural,fire,other,other,False,39.157877726663074,0,False,-1.073809368373725
BC,natural,fire,monitor,other,False,72.59018163415368,0,False,-1.3381012014796203
BC,natural,fire,full,other,False,9.825447644386156,6,False,-1.1739017602983917
BC,natural,fire,full,other,False,16.74041070471437,2,False,0.6386764684120977
BC,natural,fire,moderate,other,False,45.04241372386356,0,False,0.2068277542561848
BC,natural,fire,full,other,False,21.089740340947532,0,False,0.5918113121398505
BC,unknown,fire,moderate,other,False,17.065331985099583,1,False,-1.1552867584495754
BC,natural,fire,moderate,other,False,51.48558420644597,0,False,1.5679682548700948
BC,natural,fire,full,other,False,16.68571953336434,1,False,-0.8497245493802916
BC,natural,fire,monitor,other,False,42.03446147869035,0,False,2.3776046427129796
BC,natural,fire,monitor,other,False,21.95432194454951,0,False,0.6958890482707635
BC,natural,fire,monitor,other,False,32.13648286712794,0,False,2.9098208589662695
BC,natural,fire,monitor,other,False,47.89177149691715,0,False,1.869459959793104
BC,natural,fire,moderate,other,False,65.28570757393548,0,False,-1.090961291437632
BC,natural,fire,monitor,other,False,0.7259817648584208,2,False,-1.1928413054011784
BC,natural,fire,full,other,False,101.06699723809496,0,False,-1.157782780461034
BC,natural,fire,full,other,False,17.01897840071844,3,False,-0.1794369141431136
BC,natural,fire,other,other,False,6.104656288301265,3,False,-0.0549176982170509
BC,natural,fire,moderate,other,False,115.6322275406116,0,False,-0.2543061508723572
BC,natural,fire,moderate,other,False,21.09831993316864,0,False,0.8491260044108128
BC,natural,fire,moderate,other,False,54.73829041218224,0,False,-0.8533659422696037
BC,natural,fire,monitor,other,False,75.37531065703395,0,False,-0.0086011466477287
BC,natural,fire,moderate,other,False,47.89587748361048,0,False,-1.010408435295077
BC,natural,fire,other,other,False,61.64566966255866,0,False,1.4362353683004614
BC,natural,fire,full,other,False,9.96582284355557,2,False,1.1885853220178295
BC,natural,fire,full,other,False,6.118422303127089,8,False,1.1070836497505927
BC,natural,fire,full,other,False,29.5328241244174,0,False,-1.2748424481395593
BC,natural,fire,full,other,False,59.83703143147832,0,False,-1.3627700895731674
BC,natural,fire,moderate,other,False,11.303714974562157,5,False,-0.7607675943455937
BC,natural,fire,full,other,False,9.507035999453851,1,False,2.0523394552835597
BC,natural,fire,monitor,other,False,18.75457906128802,2,False,-1.007354565369855
BC,natural,fire,moderate,other,False,86.22489374709242,0,False,-1.1420646696724552
BC,natural,fire,moderate,other,False,113.17327164716872,0,False,-1.1012724503743032
BC,natural,fire,monitor,other,False,49.47005706623769,0,False,-0.1994322418613794
BC,natural,fire,full,other,False,8.677574658800001,5,False,2.065943843735629
BC,natural,fire,moderate,other,False,93.40449709624744,0,False,-1.2721121630075958
BC,natural,fire,moderate,other,False,114.36520074569351,0,False,1.339862060837258
BC,natural,fire,moderate,other,False,75.47670115984153,0,False,-0.5193334955193034
BC,natural,fire,monitor,other,False,25.39946587394075,0,False,-1.047490036837941
BC,natural,fire,moderate,other,False,19.844792316978943,1,False,2.239896003434785
BC,natural,fire,monitor,other,False,32.613775856818876,0,False,0.4531931552789649
BC,natural,fire,monitor,other,False,34.013046526871804,0,False,0.6182843633444634
BC,natural,fire,monitor,other,False,19.157607836775288,1,False,1.9920467290772512
BC,natural,fire,full,other,False,24.002596890144908,0,False,3.201603341935673
BC,natural,fire,other,other,False,6.936312536905986,1,False,-0.5980247353382401
BC,natural,fire,full,other,False,15.324008291609488,1,False,0.6212342188661902
BC,natural,fire,monitor,other,False,35.91802647929621,0,False,-0.9858956881297338
BC,natural,fire,moderate,other,False,17.54068858891703,4,False,-1.2454390058839335
BC,natural,fire,moderate,other,False,104.89399068894456,0,False,-0.4374100570764067
BC,natural,fire,full,other,False,11.076779625290666,3,False,-0.784173034512301
BC,natural,fire,moderate,other,False,31.04736548583782,0,False,-0.2478337043293217
BC,natural,fire,monitor,other,False,30.04341340875594,0,False,0.4175463800399441
BC,natural,fire,monitor,other,False,38.857512804289094,0,False,1.6162956591026998
BC,natural,fire,full,other,False,62.29014362534993,0,False,3.714362279431789
BC,natural,fire,monitor,other,False,43.2710105229368,0,False,-0.4145534187955601
BC,natural,fire,monitor,other,False,47.88957443958817,0,False,-0.0099348682218988
BC,natural,fire,moderate,other,False,11.20691431742792,42,False,0.6714506939583096
BC,natural,fire,other,other,False,24.698393316086467,0,False,-1.3470555095478425
BC,natural,fire,moderate,other,False,65.28407461157605,0,False,-0.5651355809683796
BC,natural,fire,monitor,other,False,58.38315223041596,0,False,-0.8969735783619431
